public_id	cf_id	spec	kind	owner_role	parent_spec_status	bucket	title	evidence_citation
CF-66	66	CF-SPEC-7	spec_requirement	implementer	planned	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-67	67	CF-SPEC-7	spec_requirement	implementer	planned	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-68	68	CF-SPEC-7	spec_requirement	tester	planned	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-69	69	CF-SPEC-7	spec_requirement	tester	planned	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-70	70	CF-SPEC-8	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Prevent deleted managed uploads from resurfacing as UUID-named project documents during automatic sync` with clea	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-71	71	CF-SPEC-8	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-73	73	CF-SPEC-8	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-74	74	CF-SPEC-8	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-75	75	CF-SPEC-8	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-76	76	CF-SPEC-8	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-77	77	CF-SPEC-8	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-78	78	CF-SPEC-8	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-8 status=tasked measured 2026-09-09; deferred: pi-full-replacement S3 in-progress
CF-79	79	CF-SPEC-9	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Accept truthful contract-mode degraded LLM readiness in simulation health assertion` with clear scope and evidenc	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-80	80	CF-SPEC-9	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-82	82	CF-SPEC-9	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-83	83	CF-SPEC-9	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-84	84	CF-SPEC-9	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-85	85	CF-SPEC-9	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-86	86	CF-SPEC-9	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-87	87	CF-SPEC-9	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-9 status=tasked measured 2026-09-09; deferred: active simulation-health initiative
CF-88	88	CF-SPEC-10	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Repair verified simulation and Docker runtime defects from the 76-scenario QA sweep` with clear scope and evidenc	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-90	90	CF-SPEC-10	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Repair verified simulation and Docker runtime defects from the 76-	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-91	91	CF-SPEC-10	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-92	92	CF-SPEC-10	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-93	93	CF-SPEC-10	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-94	94	CF-SPEC-10	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-95	95	CF-SPEC-10	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-96	96	CF-SPEC-10	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-10 status=tasked measured 2026-09-09; deferred: long-horizon initiative completed; residual benchmark work continues under this spec
CF-108	108	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-001: Tasks menu human approval enabled (canMarkDone true for human review), Start Coding Run searches all relevant ...	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-109	109	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-002: Interviews menu UI upgraded to two-column master-detail layout with searchable interview list and transcript h...	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-110	110	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-003: Knowledge Base chunks permanently persisted to /app/data/simulation-shared/lance_db; (	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-111	111	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-004: Settings Active Sessions collapsible when >3; (	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-112	112	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-005: Model preferences persisted to os.environ and disk; (	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-114	114	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-007: Tool reliability telemetry audit trail recorded and displayed; (	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-115	115	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-008: Project Settings evidence-chain metrics updated; (	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-116	116	CF-SPEC-12	spec_work_item	implementer	tasked	open-not-release-blocking	ITEM-009: Version History upgraded to multi-tab Activity & Audit dashboard. Protected folders LLMs/ and Model_Finetuning...	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-117	117	CF-SPEC-12	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Research Spine Gates, Interviews UX Overhaul, Multi-Mode Ensemble, and Systemwide Audit Hardening` with clear sco	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-118	118	CF-SPEC-12	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-119	119	CF-SPEC-12	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Research Spine Gates, Interviews UX Overhaul, Multi-Mode Ensemble,	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-120	120	CF-SPEC-12	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-121	121	CF-SPEC-12	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-122	122	CF-SPEC-12	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-123	123	CF-SPEC-12	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-124	124	CF-SPEC-12	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-125	125	CF-SPEC-12	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-12 status=tasked measured 2026-09-09; deferred: research-spine-gates initiative S5 done; residual hardening under this spec
CF-128	128	CF-SPEC-14	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Settings card lists collapse above 5 items with see-more toggle; chat model picker integrates all configured Pi e	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-129	129	CF-SPEC-14	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-130	130	CF-SPEC-14	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Settings card lists collapse above 5 items with see-more toggle; c	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-131	131	CF-SPEC-14	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-132	132	CF-SPEC-14	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-133	133	CF-SPEC-14	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-134	134	CF-SPEC-14	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-135	135	CF-SPEC-14	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-136	136	CF-SPEC-14	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-14 status=tasked measured 2026-09-09; deferred: settings-collapse initiative done; follow-up work under this spec
CF-138	138		recipe_step	architect	n/a	open-not-release-blocking	2. plan task graph	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-139	139		recipe_step	implementer	n/a	open-not-release-blocking	3. implement in scoped slices	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-140	140		recipe_step	tester	n/a	open-not-release-blocking	4. run post-change gate	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-141	141		recipe_step	implementer	n/a	open-not-release-blocking	5. record decision	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-142	142	CF-SPEC-15	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Fix chat send Errno 2 regression: surface the missing-file traceback, root-cause, and restore sends with fail-clo	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-143	143	CF-SPEC-15	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-144	144	CF-SPEC-15	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Fix chat send Errno 2 regression: surface the missing-file traceba	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-145	145	CF-SPEC-15	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-146	146	CF-SPEC-15	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-147	147	CF-SPEC-15	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-148	148	CF-SPEC-15	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-149	149	CF-SPEC-15	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-150	150	CF-SPEC-15	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-15 status=tasked measured 2026-09-09; deferred: chat-send-errno2 initiative done; regression watch under this spec
CF-152	152		recipe_step	architect	n/a	open-not-release-blocking	2. plan task graph	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-153	153		recipe_step	implementer	n/a	open-not-release-blocking	3. implement in scoped slices	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-154	154		recipe_step	tester	n/a	open-not-release-blocking	4. run post-change gate	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-155	155		recipe_step	implementer	n/a	open-not-release-blocking	5. record decision	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-156	156	CF-SPEC-16	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Persist Memory RAG stores on the durable QA lane: LANCE_DB_PATH plus new KEYWORD_INDEX_DIR override, shared helpe	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-157	157	CF-SPEC-16	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-158	158	CF-SPEC-16	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Persist Memory RAG stores on the durable QA lane: LANCE_DB_PATH pl	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-159	159	CF-SPEC-16	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-160	160	CF-SPEC-16	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-161	161	CF-SPEC-16	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-162	162	CF-SPEC-16	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-163	163	CF-SPEC-16	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-164	164	CF-SPEC-16	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-16 status=tasked measured 2026-09-09; deferred: memory-reindex initiative done; follow-up work under this spec
CF-166	166		recipe_step	architect	n/a	open-not-release-blocking	2. plan task graph	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-167	167		recipe_step	implementer	n/a	open-not-release-blocking	3. implement in scoped slices	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-168	168		recipe_step	tester	n/a	open-not-release-blocking	4. run post-change gate	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-169	169		recipe_step	implementer	n/a	open-not-release-blocking	5. record decision	process-level recipe_step with no parent spec; no acceptance record exists to cite a closure; closure requires run-owner decision — explicitly not closed by W2
CF-170	170	CF-SPEC-17	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Audit File and Backup Encryption, Passkeys WebAuthn, and TOTP plus recovery codes for correctness, standard compl	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
CF-171	171	CF-SPEC-17	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
CF-172	172	CF-SPEC-17	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Audit File and Backup Encryption, Passkeys WebAuthn, and TOTP plus	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
CF-173	173	CF-SPEC-17	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
CF-174	174	CF-SPEC-17	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
CF-175	175	CF-SPEC-17	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-17 status=tasked measured 2026-09-09; deferred: auth-surface-audit done; WebAuthn/TOTP follow-up under this spec
